名前,住所,お店の場所,経度,緯度
ダイエー金剛,大阪府大阪狭山市半田1-35-1,
ダイエー富田林,大阪府富田林市昭和町1-7-1,
ダイエー古川橋駅前,大阪府門真市末広町41-2,
セガワールド枚方,大阪府枚方市須山町83-1,サンシャインプラザ枚方内
ジョーシン岸和田,大阪府岸和田市作才町1-3-12,
ジョーシン平野加美,大阪府大阪市平野区加美北5-6-40,
ジョーシン東大阪,大阪府東大阪市若江西新町3-1-7,
ジョーシン寝屋川,大阪府寝屋川市昭栄町18-1,
ジョーシン光明池,大阪府和泉市室堂町824-36,コムボックス1階
ジョーシン新大阪,大阪府大阪市淀川区西宮原2-2-17,新大阪センイシティー3号館2階,135.4928828,34.7344717
ジョーシン東香里,大阪府枚方市高田1-20-50,
エディオン泉大津,大阪府泉大津市千原町1-88-1,
エディオン泉北,大阪府堺市南区三原台4-40-1,
エディオン天満橋,大阪府大阪市中央区天満橋京町1-1,京阪シティモール5F
エディオン京橋,大阪府大阪市城東区蒲生1-9-10,
エディオン枚方,大阪府枚方市甲斐田新町8-1,
エディオン高槻宮田,大阪府高槻市宮田町1-2-1,
イズミヤ上新庄,大阪府大阪市東淀川区上新庄1-2-36,
イズミヤ交野,大阪府交野市私部西1-33-20,
イズミヤ古市,大阪府古市翠鳥園395-1,
ジョーシン平野うりわり,大阪府大阪市平野区瓜破4-2-8,
ライフ玉串,大阪府東大阪市玉串町東1-6-20,
ドン･キホーテラパーク瑞江,東京都江戸川区瑞江2-1-2,
ドン･キホーテ北池袋,東京都豊島区池袋本町2-7-5,
レジャーランド秋葉原1号,東京都千代田区外神田1-9-5,,139.770145,35.6987529
テックランド稲城若葉台,東京都稲城市若葉台2-8,
LABI1池袋MD館,東京都豊島区東池袋1-41-1,
テックランドNew八王子別所,東京都八王子市別所2-56,,139.3953882,35.6102603
テックランド足立,東京都足立区平野2-1-5,
テックランド東京本店,東京都世田谷区上北沢5-37-18,
LABI新宿東口館,東京都新宿区新宿3-23-7,
ヤマダ電機LABI新宿西口,東京都新宿区西新宿1-18-8,
ヤマダ電機LABI自由ヶ丘,東京都目黒区緑が丘2-17-9,
ミスターマックス町田多摩境,東京都町田市小山ヶ丘6-1-10,
らんらんらんど西台,東京都板橋区蓮根3-8-12,ダイエー西台店3F,139.6747272,35.7862412
らんらんらんど小平,東京都小平市小川東町2-12-1,ダイエー小平店2F,139.4678726,35.7431638
らんらんらんど東大島,東京都江東区大島7-38-30,ダイエー東大島店3F,139.8425439,35.6907847
GAMEピーアーク青井,東京都足立区一ツ家3-8-12,
ハローズガーデン武蔵小金井,東京都小金井市本町6-14-9,イトーヨーカドー武蔵小金井店4F,139.5048681,35.7004737
ハローズガーデン墨田文化,東京都墨田区文花1-31-9,オリンピック墨田文花店1F
ハローズガーデン船堀,東京都江戸川区船堀1-1-51,ダイエー船堀店3F
ドラマ高倉,東京都八王子市高倉町36-1,
ドラマ八王子高倉,東京都八王子市高倉町55-4,
セガ秋葉原1号館(CLUBSEGA秋葉原),東京都千代田区外神田1-10-9,
ゲオ青梅新町,東京都青梅市新町5-4-3,
ゲオ鹿浜,東京都足立区谷在家2-11-2,
イオン板橋,東京都板橋区徳丸2-6-1,,139.6608212,35.7700229
キャッツアイ西葛西,東京都江戸川区西葛西4-2-28,サニーモール西葛西店3F,139.8619358,35.6682613
ドン・キホーテ八王子駅前,東京都八王子市中町1-3,
NICOPAサンストリー亀戸店,東京都江東区亀戸6-31-1,サンストリート2F,139.8291654,35.6957975
西友深沢,東京都世田谷区深沢1-8-1,,139.6609217,35.6142034
ミスターマックス時津,長崎県西彼杵郡時津町左底郷1832-1,,129.8452434,32.8350263
西友諌早,長崎県諫早市永昌東町2-1,
ダイエー壱岐,長崎県壱岐市芦辺町箱崎中山触字干拓2604-2,,129.7514329,33.810314
ダイエーチトセピア,長崎県長崎市千歳町5-1,
楽市楽座諫早,長崎県諌早市長野町1086-17,
スペースタイム25イオン佐世保,長崎県佐世保市島瀬町10-9,イオン佐世保8階,129.720428,33.1710797
らんらんらんど壱岐,長崎県壱岐市芦辺町箱崎中山触字干拓2604-2,ダイエー壱岐店2F,129.7515428,33.8102137
あおき長崎葉山,長崎県長崎市葉山1-28-15,S&B葉山ショッピングプラザ1F
NICOPA四日市北,三重県四日市市富州原町2-40,イオン四日市北店,136.657158,35.0076628
ヨシヅヤ員弁,三重県いなべ市員弁町石仏1902-2,
ハローズガーデン鈴鹿,三重県鈴鹿市南玉垣町3628,アピタ鈴鹿店2F,136.5824275,34.8531288
ドナリアコット サンズ店,三重県鈴鹿市白子駅前9-20,サンズ店内3F
楽市楽座イオンモール東員,三重県員弁郡東員町大字長深字 築田510-1,イオンモール東員店3階,136.5795444,35.0615282
らんらんらんど鈴鹿,三重県鈴鹿市算所2-5-1,鈴鹿ハンター2F
らんらんらんど大安,三重県いなべ市大安町高柳1945,イオン大安2F
タイトーステーションイオンモール明和店,三重県三重県多気郡明和町中村1223,,136.6143033,34.581092
ちびっこザウルス,福島県いわき市小名浜大原字東田96,ヨークタウンアクロスプラザ大原店内
おもちゃ屋本舗会津千石,福島県会津若松市八角町1-1,
パロ喜多方,福島県喜多方市字押切南2-42-1,,139.8596055,37.6467881
イオンスーパーセンター鏡石,福島県岩瀬郡鏡石町桜岡375-9,,140.3335506,37.2424284
SOYU ENTERTAINMENT STUDIO須賀川店,福島県須賀川市古河105,イオンタウン須賀川B棟内
ポップンパーク赤岡,高知県香南市赤岡町1954-1,
ポップンパーク佐川,高知県高岡郡佐川町甲384−1,,133.3002245,33.4972751
フジグラン四万十,高知県四万十市具同2222,,132.9205949,32.9810442
フジベスタ須崎,高知県須崎市西町2-7-15,,133.2798138,33.3876972
セガワールドフジグラン,高知県高知市朝倉東町52-15,フジグラン高知3階,133.4981104,33.5429562
イズミヤ宮崎,宮崎県宮崎市京塚1-5-1,
楽市楽座イオンモール宮崎,宮崎県宮崎市新別府町江口862-1,イオンモール宮崎店2階,131.456368,31.9227256
らんらんらんど都城駅前,宮崎県都城市栄町4672-5,ダイエー都城駅前2階
ミスターマックス岡山西,岡山県岡山市北区久米310-1,
ハローズ庭瀬,岡山県岡山市北区平野1100-1,
ハローズ田ノ上,岡山県倉敷市田ノ上1008,
ハローズ笠岡,岡山県笠岡市富岡232-1,,133.5252122,34.4977347
ハローズ総社,岡山県総社市井出596-1,
ハローズ津高,岡山県岡山市北区津高640-1,
ハローズ当新田,岡山県岡山市南区当新田126-3,
ハローズ江崎,岡山県岡山市中区江崎690-1,
ハローズ中庄,岡山県倉敷市松島971-1,,133.8064848,34.6315791
ふぇすたらんど平島,岡山県岡山市東区東平島1609,マルナカ平島店内
アミューズメントプレイス・ギミック・セガ,岡山県岡山市中区藤崎599-12,,133.976605,34.6087915
モーリーファンタジー倉敷,岡山県倉敷市水江1,イオン1階,133.7457722,34.6029344
ペリカン津高,岡山県岡山市北区横井上83-3,イズミヤ内4F,133.9021806,34.6999408
ハローズ花尻店,岡山県岡山市北区白石西新町9-116,,133.8704047,34.6553763
ミスターマックス松橋,熊本県宇城市松橋町豊福1683-1,,130.7015933,32.6391142
ミスターマックス熊本インター,熊本県熊本市東区石原1-1-111,
ミスターマックス熊本南,熊本県熊本市南区十弾寺3-4-14,,130.6977681,32.7759838
らんらんらんどイオンタウン田崎,熊本県熊本市西区田崎町字下寄380,イオンタウン1階,130.6785033,32.783778
らんらんらんど熊本,熊本県熊本市中央区大江4-2-1,ダイエー熊本店2F
FESTA山鹿,熊本県山鹿市方保田字鳥越3468-1,Mr.Max山鹿ショッピングセンター内,130.7230444,33.0046806
パスカワールドグリーンランド,熊本県荒尾市本井手1574-54,
パスカワールド宇土,熊本県宇土市善道寺町綾織95,宇土シティモール内,130.6681557,32.6826626
ピノキオランドあらお,熊本県荒尾市緑ヶ丘1-1-1,あらおシティモール内1F,130.4707875,32.9825097
ピノキオランド玉名,熊本県玉名市亀甲字前田110,カリーノ玉名店2F,130.5553218,32.927335400000004
FESTAカリーノ下通,熊本県熊本市中央区安政町1-2,カリーノ下通店B1F
FESTA人吉,熊本県人吉市宝来町1307-1,人吉レックス内,130.7483151,32.2120262
楽市楽座イオンモール熊本,熊本県上益城郡嘉島町大字上島字長池2232,イオンモール熊本店2階,130.7441914,32.7377024
楽市楽座小川,熊本県宇城市小川町河江1-1,,130.7074589,32.59709
楽市楽座熊本,熊本県熊本市南区十禅寺2-8-2,食遊楽園内
ライフ御所,奈良県御所市東松本30,
ハローズガーデン大和郡山,奈良県大和郡山市田中町字宮西517,アピタ大和郡山店2F,135.769197,34.6414447
イズミヤ学園前,奈良県奈良市学園中4-539-1,
ザ・ビッグエクストラ天理,奈良県天理市東井戸堂町381,
楽市楽座イオンモール大和郡山,奈良県大和郡山市下三橋町741,イオンモール大和郡山店3階,135.8029236,34.6516714
らんらんらんど大和高田,奈良県大和高田市幸町3-6,オークタウン大和高田5F,135.7441896,34.5185197
西友王寺,奈良県北葛城郡王寺町久度2-2-1,,135.7048148,34.598039
アルプラザ敦賀,福井県敦賀市白銀町11-5,
ジョーシン福井本店,福井県福井市高柳1-201,
レジャーランド伊勢崎,群馬県伊勢崎市連取3066-1,
レジャーランド太田,群馬県太田市西矢島町162-2,
ヤマダ電機LABI高崎,群馬県高崎市栄町1-1,AVソフトコーナー,139.0138104,36.3230872
ミスターマックス倉賀野,群馬県高崎市倉賀野町4691-1,,139.0560225,36.3006725
ミスターマックス伊勢崎,群馬県伊勢崎市宮子町3556-1,
JOYFUL-2新田,群馬県太田市新田市野井町592-13,JOYFUL-2,139.3017691,36.3034285
ハローズガーデン笠懸,群馬県みどり市笠懸町阿左美1285-1,アピタ笠懸店2F,139.3033,36.3914059
セガワールド太田,群馬県太田市西矢島町575-1,,139.3780843,36.2745447
ユーズランド太田店,群馬県太田市石原町81,イオンモール太田2F,139.4005113,36.2943646
フェドラ高崎,群馬県高崎市緑町1-29-4,
モーリーファンタジーミスタマックス伊勢崎,群馬県伊勢崎市宮子町3556-1,ミスターマックス1F
ハローズガーデン長岡,新潟県長岡市千秋2-278,アピタRIVERSIDESENSHU長岡店2F,138.8269317,37.4609636
ハローズガーデン新潟亀田,新潟県新潟市江南区鵜ノ子4-466,アピタ新潟亀田店2F,139.0893005,37.8722347
ファミリーアミューズメント新潟西,新潟県新潟市西区小新474,アピタ新潟西店2F,139.0033978,37.8807059
ゲオ新潟空港通り,新潟県新潟市東区浜谷町2-4-6,
ゲオ寺尾,新潟県新潟市西区五十嵐東1-7-1,
タカラ島新村上,新潟県村上市仲間町200,村上プラザ1階内,139.4922815,38.2211079
らんらんらんど十日町,新潟県十日町市旭町161,リオン・ドール十日町,138.7581838,37.1357161
ヨークベニマル若松原,栃木県宇都宮市北若松原1-13-15,
ヨークベニマル鹿沼,栃木県鹿沼市茂呂2-23-7,
ヨークベニマル小山雨ケ谷,栃木県小山市大字雨が谷877,,139.8124128,36.283867
ヨークベニマル大平町,栃木県栃木市大平町下皆川215-2,
ヨークベニマル石橋,栃木県下野市下古山3362-1,,139.8686086,36.4684914
ヨークベニマル足利,栃木県足利市朝倉町2-21-16,,139.44543900000002,36.3157477
ヨークベニマル針ケ谷,栃木県宇都宮市針ケ谷町字新田472-6外,,139.8570611,36.4920344
テクモピアロックダムインターパーク,栃木県宇都宮市インターパーク6-1,1FKDショピングモールインターパーク店2階,139.9070214,36.4904168
ザ・ビッグエクストラ那須塩原,栃木県那須塩原市島方455,
東武百貨店 宇都宮店 5F玩具売場,栃木県宇都宮市宮園町5-4,東武宇都宮百貨店5F
フェドラ佐野,栃木県佐野市高萩町1340,
JOYFUL-2宇都宮,栃木県河内郡上三川町磯岡421-1,,139.9062344,36.4819916
あぐり〜ず小山店,栃木県小山市中央町3-7-1,,139.8052388,36.3125843
らんらんらんど麻生,北海道札幌市北区北39条西4-1-5,ダイエー麻生店4F,141.3396761,43.107253
らんらんらんど岩見沢,北海道岩見沢市9条西20,ダイエー岩見沢店2F,141.7535481,43.189499600000005
らんらんらんど東札幌,北海道札幌市白石区東札幌3条2-1,ダイエー東札幌店2F,141.3852553,43.0525196
ファンタジーキッズリゾート新さっぽろ,北海道札幌市厚別区厚別中央二条5-7-2,サンピアザ1F
BOOKOFF 北見メッセ,北海道北見市中央三輪5-423-18,
東武イーストモール端野,北海道北見市端野町三区572-1,
アクロスプラザたきかわ,北海道滝川市南滝の川115-4,,141.9319044,43.5695071
ダイエー岩見沢,北海道岩見沢市9条西20-1-2,
西條名寄,北海道名寄市西4条南8-1,
西條士別,北海道士別市大通東16-3143,
BESTOM 中富良野,北海道空知郡中富良野町字中富良野東1線北17,,142.4445058,43.4230615
BOOKNETONE旭川マルカツ,北海道旭川市2条通7-227-1,マルカツデパート4階
イオン紋別,北海道紋別市花園町3-4-39,
イオン釧路店,北海道釧路郡釧路町桂木1-1-7,イオン釧路2F,144.4050525,43.0088488
MEGAドン・キホーテ函館,北海道函館市美原1-7-1,
ダイエー東札幌,北海道札幌市白石区東札幌3条2-1,,141.3854967,43.052602
イオン余市,北海道余市郡余市町黒川町12-62-1,
らんらんらんど旭川パルプ,北海道旭川市パルプ町1条2-505-2,ショッピングセンターパルプタウン1F
らんらんらんど八雲,北海道二海郡八雲町東雲町20-5,グルメシティ北海道八雲店1F
SOYU遊戯街ロマン通り旭川西店,北海道旭川市緑町23-2161-3,イオンモール旭川西3F,142.3263214,43.7941569
MAXMHERO,北海道札幌市北区北6条西6,鉄道高架下,141.3470489,43.0677202
テックランド船橋本店,千葉県船橋市北本町2-58-5,
ミスターマックス千葉美浜,千葉県千葉市美浜区新港32-11,,140.0904268,35.6180202
ミスターマックス南船橋,千葉県船橋市浜町2-2-7,
JOYFUL-2富里,千葉県富里市七栄525-24,,140.3144832,35.7486339
メルヘンランドアメリー大網,千葉県山武郡大網白里町みやこ野1-1-1,大網白里アメリー3階,140.3148299,35.5191089
らんらんらんど五香,千葉県松戸市五香8-44-6,オウル五香1F,139.9813516,35.7959927
ハローズガーデン君津店,千葉県君津市久保1-1-1,アピタ君津店2階,139.8985046,35.3322209
ハローズガーデン木更津,千葉県木更津市ほたる野4-2-48,アピタ木更津店2F,139.9629198,35.375695300000004
宝島新浦安,千葉県浦安市入船1-4-1,ダイエーショッパーズ4階,139.91481460000003,35.6488908
パラボランド東金,千葉県東金市東岩崎8-10,サンピア3F
CLUBSEGA稲毛オーツーパーク,千葉県千葉市稲毛区園生町380-1,,140.1194609,35.6515778
セガ成田HUMAX,千葉県成田市ウイング土屋80,ヒューマックスパビリオン成田1F,140.3217284,35.7936297
テクモピア船橋店,千葉県船橋市浜町2-2-7,ビビット南船橋4階
ゲオ八柱,千葉県松戸市日暮3-19-18,,139.9336514,35.7895961
イズミヤ検見川,千葉県千葉市美浜区真砂4-2-6,
モーリーファンタジー千葉ニュ-タウン,千葉県印西市中央北3-1-1,イオン3F,140.1138643,35.802813
らんらんらんど千葉長沼,千葉県千葉市稲毛区長沼町330-50,ダイエー千葉長沼店1F,140.1176006,35.6562287
MEGAドン・キホーテラパーク成東,千葉県山武市成東1808-1,,140.3975097,35.5956269
SOYU GameField 木更津店,千葉県木更津市築地1-4,イオンモール木更津2F,139.9084017,35.3653086
西友浦安,千葉県浦安市北栄1-14-1,
ザ・プライス五香,千葉県松戸市常盤平5-22-3,
ミスターマックス新習志野,千葉県習志野市茜浜2-2-1,
ベイシアちば古市場,千葉県千葉市緑区古市場町835,
カインズホーム旭飯岡,千葉県旭市三川4334-1,,140.686844,35.721466
カインズホーム八日市場,千葉県匝瑳市八日市場口字横田118,,140.5560705,35.701614
ベイシア大網白里,千葉県大網白里市大網273-2,
カインズホーム銚子,千葉県銚子市芦崎町810,
らんらんらんど新松戸,千葉県松戸市新松戸3-2-2,ダイエー新松戸店4F,139.9155641,35.8253782
らんらんらんど長浦,千葉県袖ヶ浦市長浦駅前1-7,ダイエー長浦店2F
タイトーステーション柏店,千葉県柏市柏2-3-1,,139.9727062,35.8613911
タイトーステーション茂原アスモ店,千葉県茂原市高師1735,茂原ショッピングプラザアスモ2F,140.287854,35.4349073
ヤマダ電機LABI津田沼,千葉県習志野市谷津1-16-1,モリシア津田沼3F,140.0189582,35.6895996
JOYFUL-2千葉ニュータウン店,千葉県印西市草深1921,,140.1554626,35.8071283
テックランド徳島本店,徳島県徳島市中吉野町4-1-1,
ポップンパーク貞光,徳島県美馬郡つるぎ町貞光中須賀33-1,,134.0637012,34.0382765
ミスターマックス山口,山口県山口市黒川82-1,,131.433315,34.13638060000001
ミスターマックス綾羅木,山口県下関市綾羅木町3-2-1,,130.9221343,34.0129896
ミスターマックス柳井,山口県柳井市駅南1-11,,132.1020977,33.9664867
フジグラン山口,山口県山口市黒川3736,
フジグラン長門,山口県長門市仙崎322-2,
フジグラン岩国,山口県岩国市麻里布町2-9-8,
らんらんらんど下関,山口県下関市竹崎町4-4-7,シーモールエスト4F
ペリカン宇部,山口県宇部市大字妻崎開作411,ゆめタウン宇部内1F,131.2059226,33.9846168
ペリカン山口,山口県山口市大内御堀1302-1,ゆめタウン山口内2F,131.4913641,34.1604144
ペリカン南岩国,山口県岩国市南岩国町1-20-30,ゆめタウン南岩国内2F,132.2025898,34.1349176
ペリカン防府,山口県防府市八王子2-8-8,ゆめタウン防府内3F
ビーユー新南陽,山口県周南市清水2-2-1,ゆめタウン3F
西友THEMALL周南,山口県下松市中央町21-3,,131.8633445,34.018376
SOYU FamilyGameField 防府店,山口県防府市山口県防府市鐘紡町7-1,イオンタウン防府1F,131.5903204,34.0482878
てくもぴあ阿知須店,山口県山口市阿知須4825-1,サンパークあじす2階
てくもぴあ柳井店,山口県柳井市駅南1-11,ミスターマックス柳井ショッピングセンターA棟,132.1024518,33.9666869
娯楽座メリーゴーランド周東,山口県岩国市周東町下久原436,ザ・ビッグ周東店内
アミパラ下関店,山口県下関市長府才川1-42-48,
ライフ歌島,大阪府大阪市西淀川区歌島2-6-13,
ライフ庄内,大阪府豊中市庄内栄町5-5-10,
ライフ大仙,大阪府堺市堺区大仙西町6-184-1,,135.4749698,34.5634201
ライフ久宝寺駅前,大阪府八尾市龍華町1-4-3,
ピザッカ大東,大阪府大東市住道2-1-103,イズミヤ内5F,135.6222774,34.7066748
ペリカン花園,大阪府西成区花園南1-2-4,イズミヤ内4F
エディオン中環東大阪,大阪府大阪市稲田三島町3-88,
らんらんらんど富田林,大阪府富田林市昭和町1-7-1,ダイエー富田林店3F
らんらんらんど吹田,大阪府吹田市朝日町2-101,ダイエー吹田店4F,135.5258879,34.762707
らんらんらんど池田駅前,大阪府池田市満寿美町2-2,ダイエー池田駅前店4F
タイトーステーション難波店,大阪府大阪市中央区難波千日前15-12,,135.5032874,34.6633192
タイトーステーション大阪日本橋店,大阪府大阪市浪速区日本橋4-9-14,,135.5062153,34.6603755
セガワールドアポロ,大阪府大阪市阿倍野区阿倍野筋1-5-31,アポロビル3F
セガワールド布施,大阪府東大阪市長堂1-1-1,ロンモール布施内
セガ福田,大阪府堺市中区福田1056-1,
高島屋堺,大阪府堺市堺区三国ヶ丘御幸通59-7,階
キデイランド枚方,大阪府枚方市岡東町19-14,京阪百貨店1F,135.6483437,34.8156459
そごう広島,広島県広島市中区基町6-27,そごう広島店6F,132.457196,34.3960404
ミスターマックス八本松,広島県広島市八本松西1-12-23,
ミスターマックス新神辺,広島県福山市神辺町大字川北 1533,,133.3623695,34.5405853
フジグラン東広島,広島県広島市西条町御薗宇4405,
フジグラン尾道,広島県尾道市東尾道19-7,
フジグラン広島,広島県広島市中区宝町2-1,
ペリカン江田島,広島県江田島市大柿町飛渡瀬180,
ビーユー東広島,広島県東広島市西条土与丸1-5-7,ゆめタウン4F
ハローズ大門,広島県福山市大門町2-22-43,
セガ海田,広島県安芸郡海田町南大正町3-35,
エディオン広島本店,広島県広島市中区紙屋町2-1-18,
エディオンアルパーク南,広島県広島市西区商工センタ-2-5-1,,132.396064,34.3720269
エディオン廿日市,広島県廿日市市新宮1-9-34,
わいわい王国メリーゴーランド楽々園,広島県広島市佐伯区楽々園4-14-1,ナイスデイ2階
あみぱらんど福山店,広島県福山市三吉町南2-8-24,,133.3786191,34.4883603
楽市楽座広島,広島県広島市南区段原南1-3-52,広島段原ショッピングセンター7階
タイトーステーション広島本通店,広島県広島市中区本通3-5,,132.4604315,34.3928294
セガワールド東広島,広島県東広島市西条中央7-2-14,
セガワールド宇品,広島県広島市南区宇品西3-4,フタバ図書GIGA宇品店内,132.4594267,34.3618245
娯楽座メリーゴーランド高陽,広島県広島市安佐北区口田4-6-32,マックスバリュ高陽店3階
アミューズメント141メリーゴーランド温品,広島県広島市東区温品1-3-2,フォレオ広島東2階,132.5036147,34.4076757
メリーゴーランド神辺,広島県福山市神辺町新湯野2-30-4,アクト神辺1階,133.3893893,34.5575226
ライフ春日野道,兵庫県神戸市中央区北本町通1-1-23,,135.2083425,34.6985161
ライフ神戸駅前店,兵庫県神戸市中央区中町通り3-2-15,OZプラザ,135.1750745,34.6790871
ライフ長田,兵庫県神戸市長田区北町1-4,
ライフ本山,兵庫県神戸市東灘区本山南町6-10-28,,135.287233,34.7262618
テックランド神戸垂水本店,兵庫県神戸市垂水区多聞町 868-6,
アルプラザつかしん,兵庫県尼崎市塚口本町4-8-1,,135.4181531,34.760771
らんらんらんど湊川,兵庫県神戸市兵庫区荒田町2-18-20,ダイエー湊川店3F
らんらんらんど舞子,兵庫県神戸市垂水区舞子台6-20-17,ダイエー舞子店2F
らんらんらんど甲子園,兵庫県西宮市甲子園高潮町3-3,ダイエー甲子園店3F,135.3618901,34.7235977
ハローズ夢前台,兵庫県姫路市上手野310-8,,134.6618284,34.8551465
ハローズガーデン姫路,兵庫県姫路市増位本町2-12-10,イオン姫路店2F,134.7061226,34.8568071
ニシダヤ氷上,兵庫県丹波市氷上町本郷300,ゆめタウン1階
タイトーFステーションHAT神戸店,兵庫県神戸市中央区脇浜海岸通2-2-2,ブルメールHAT神戸2F
グルメシティ夙川,兵庫県西宮市羽衣町7-30,,135.3274456,34.7412747
セガ神戸umieサウスモール,兵庫県神戸市中央区東川崎1-7-2,
セガワールド花北,兵庫県姫路市増位新町1-62F,,134.7093766,34.855968
ジョーシンつかしん,兵庫県尼崎市塚口本町4-8-1,,135.4181826,34.7618177
ジョーシン伊丹昆陽イオンモール,兵庫県伊丹市池尻4-1-1,,135.3819082,34.7843679
テクモピアフォーレ伊丹,兵庫県伊丹市藤木1-1-1,イオンモール伊丹テラス3F
エディオン伊丹,兵庫県伊丹市北伊丹5-70-1,
エディオン尼崎,兵庫県尼崎市潮江1-1-50,
エディオン洲本,兵庫県洲本市塩屋1-1-17,,134.8941763,34.3441284
エディオン太子,兵庫県揖保郡太子町東南598-1,
イズミヤ多田,兵庫県川西市多田桜木1-8-3,
ふぇすたらんど土山,兵庫県明石市魚住町清水字舞々2208-1,イオン土山店内
西友LIVIN姫路,兵庫県姫路市今宿2017-1,,134.6697063,34.8405725
エディオン西宮,兵庫県西宮市芦原町9-23,
エディオン姫路,兵庫県姫路市飾磨区今在家1416-1,
イズミヤスーパーセンター神戸玉津,兵庫県神戸市西区森友3-7-3,
楽市楽座イオンモール神戸北,兵庫県神戸市北区上津台8-1-1,イオンモール神戸北店3階
らんらんらんど藤原台,兵庫県神戸市北区藤原台中町1-2-2,,135.2208265,34.821731
らんらんらんど板宿,兵庫県神戸市須磨区前池町3-2-1,ダイエー板宿店4F,135.1321563,34.6621265
らんらんらんど西神中央,兵庫県神戸市西区糀台5-3-4,ダイエー西神中央店3F
らんらんらんど竜野,兵庫県たつの市龍野町堂本字五反田250-1,ダイエー竜野店3F,134.5527312,34.8580576
セガフェニックスプラザ摩耶,兵庫県神戸市灘区味泥町6-1,
レインボーランド神戸玉津店,兵庫県神戸市西区森友3-7-3,イズミヤ神戸玉津店2階
パロ橋本彩の台,和歌山県橋本市あやの台1-50-2,彩の台ショッピングセンター,135.6511569,34.3371167
らんらんらんど田辺,和歌山県田辺市宝来町24-26,グルメシティ田辺店3F
レインボーランド和歌山店,和歌山県和歌山市新生町7-20,イズミヤ和歌山店2階
アルプラザ守山,滋賀県守山市播磨田町185-1,
アルプラザ近江八幡,滋賀県近江八幡市桜宮町202-1,
平和堂米原,滋賀県米原市下多良2-47,
フレンドマート浅井,滋賀県長浜市三田町1322,
らんらんらんど豊郷,滋賀県犬上郡豊郷町高野瀬197-1,ピアゴ豊郷店1F
GameFieldピエリ守山,滋賀県守山市今浜町2620-5,
AGスクエア大津,滋賀県大津市におの浜3-1-43,
アルプラザ堅田,滋賀県大津市本堅田5-20-10,
アルプラザ野洲,滋賀県野洲市小篠原1000,
イズミヤスーパーセンター堅田,滋賀県大津市今堅田3-11-1,
タイトーFステーションイオン近江八幡店,滋賀県近江八幡市鷹飼町南3-7,イオン近江八幡2番街1階,136.1031564,35.1217695
ニコパウイングタウン岡崎,愛知県岡崎市羽根町小豆坂3,,137.174784,34.9233809
レイク・リビン新稲沢,愛知県稲沢市朝府町4-1,
レイク・リビン平和,愛知県稲沢市平和町須ヶ脇367,
レイク・リビン甚目寺,愛知県あま市甚目寺五位田128,
ヨシヅヤ佐屋,愛知県愛西市須依町前田面95-1,
ヨシヅヤ津島北テラス,愛知県津島市片岡町60,
ヨシヅヤ津島本店,愛知県津島市大字津島字北新開351,,136.7473105,35.1753335
ヨシヅヤ弥冨,愛知県弥富市鯏浦町南前新田123,
ヨシヅヤ大口,愛知県丹羽郡大口町奈良子2-79,
ヨシヅヤ太平通,愛知県名古屋市中川区宮脇町2-11,,136.8681566,35.1349848
ヨシヅヤ名西,愛知県名古屋市西区名西2-33-8,,136.8786674,35.1899945
ヨシヅヤJR蟹江,愛知県海部郡蟹江町今3-17,
アルプラザ小牧,愛知県小牧市小牧3-555,,136.925168,35.2898772
らんらんらんど上飯田,愛知県名古屋市北区織部町1,ダイエー上飯田店3F,136.928569,35.201033200000005
らんらんらんどｺﾑﾀｳﾝ岡崎,愛知県岡崎市上六名町字宮前1,ショッピングセンターコムタウン1F
らんらんらんどピアゴ大和,愛知県一宮市大和町毛受字一本松19,ピアゴ大和店2F,136.7832071,35.2966918
ワンダーフォレスト江南西,愛知県江南市松竹町上野205,VIAMALLアピタ江南西店2F,136.855931,35.3429937
ハローズガーデン安城南,愛知県安城市桜井町貝戸尻60,アピタ安城南店2F,137.0877182,34.9200598
タイトーステーション弥富,愛知県弥富市五明蒲原1371-4,,136.717528,35.1147135
ダイエー名古屋東,愛知県名古屋市名東区猪子石原2-1701,
セガワールド尾西,愛知県一宮市篭屋3-9-7,アソビックスびさい1F
ジョーシン稲沢,愛知県稲沢市長野7-1-2,
ジョーシン半田,愛知県半田市浜田町3-8-1,
エディオン名古屋本店,愛知県名古屋市中村区名駅南2-4-22,
エディオン岡崎本店,愛知県岡崎市上六名町字宮前1,
西友岡崎,愛知県岡崎市戸崎町越舞2-1,
楽市楽座イオンモール名古屋茶屋,愛知県名古屋市港区西茶屋2-11,イオンモール名古屋茶屋店3階
アーバンスクエア大須,愛知県名古屋市中区大須3-30-31,萬松寺駐車場ビル1.2階
らんらんらんどレスパ岡崎,愛知県岡崎市若松町字横手8-1,
タイトーステーション大須店,愛知県名古屋市中区大須3-20-7,,136.9048393,35.1596841
らんらんらんど糸満,沖縄県糸満市字兼城400,サンプラザいとまん店1F
マンガ倉庫那覇,沖縄県那覇市高良3-1-1,,127.6598721,26.1921018
マンガ倉庫浦添,沖縄県浦添市城間2689,,127.71200490000001,26.2617656
パロ宜野湾,沖縄県宜野湾市大山7-6-1,はにんす宜野湾1F2F
サンエー石川ショッピングセンター,沖縄県うるま市石川赤崎2-1-1,,127.83439730000002,26.4332486
MEGAドン・キホーテ三郷,埼玉県三郷市さつき平1-1-1,
